ID_TAREFA,PRIORIDADE,DIFICULDADE,HORAS_PROD_MED,NIVEL_FOCO_MED,ESTRESSE_MED,HORAS_DORMIDAS_MED,SATISFACAO_MED,CARGA_TRABALHO_MED,TEMPO_CONCLUSAO_DIAS,ATRASO
96,baixa,7.3,8.8,9.6,1.9,6.7,8.8,4.8,1.69,0
97,baixa,5.6,7.2,6.5,5.3,6.4,7.9,5.9,2.68,0
98,baixa,6.5,8.6,8.2,5.4,7.0,7.3,8.6,1.65,0
99,baixa,4.0,7.5,7.5,2.2,7.9,8.9,6.0,0.5,0
100,média,8.8,6.7,7.9,4.7,5.0,7.8,4.7,4.07,0
101,média,3.3,7.6,5.7,2.6,7.8,7.5,6.0,1.93,0
102,média,8.0,7.1,5.7,4.3,7.4,6.3,4.5,3.79,0
103,baixa,6.1,4.0,8.1,4.0,6.9,5.1,5.8,0.68,0
104,baixa,6.0,5.3,5.5,8.1,8.7,8.1,8.2,1.66,0
105,média,4.3,7.8,8.8,5.7,7.0,5.4,4.7,1.55,0
106,baixa,2.8,6.9,9.6,6.8,6.6,6.9,8.0,0.88,0
107,baixa,4.2,4.7,9.2,5.7,6.9,9.3,9.0,0.55,0
108,média,2.7,6.9,8.8,2.4,6.5,6.5,6.7,1.24,0
109,média,3.9,8.2,6.9,6.0,7.8,9.9,4.0,3.75,0
110,média,1.1,9.0,7.3,5.7,8.2,7.7,5.6,2.78,1
111,média,9.9,7.2,6.9,3.0,6.7,8.8,5.4,4.74,0
112,baixa,3.4,7.3,7.6,2.7,7.7,8.1,5.6,0.91,1
113,baixa,1.7,6.3,7.4,6.4,7.5,8.6,8.8,1.28,0
114,alta,5.2,8.9,9.2,4.1,8.5,6.5,6.6,0.78,0
115,baixa,1.7,6.4,6.7,6.6,6.7,8.9,4.3,2.18,1
116,alta,2.0,8.4,7.1,3.1,7.8,6.9,4.6,4.88,0
117,baixa,4.4,8.9,8.2,4.9,6.8,5.3,4.2,0.99,0
118,baixa,8.0,8.9,8.2,3.2,8.1,7.8,7.9,2.23,0
119,média,7.0,6.1,7.2,5.4,6.7,9.2,6.6,5.9,1
120,baixa,9.4,7.2,8.5,5.9,7.9,8.2,7.8,2.02,0
121,alta,8.1,8.8,7.7,7.9,8.7,9.0,5.9,8.25,1
122,alta,7.5,8.1,7.2,4.0,6.3,8.6,6.7,8.45,1
123,baixa,2.2,8.4,5.3,2.9,8.9,7.5,8.0,2.16,0
124,alta,5.2,7.0,8.6,3.0,6.8,5.0,7.8,4.15,0
125,média,6.1,7.4,8.5,2.4,6.2,7.6,4.9,0.75,0
126,baixa,8.1,7.9,8.7,9.3,6.0,5.7,8.3,1.46,0
127,média,9.1,7.4,6.9,4.4,6.5,7.6,4.0,3.61,1
128,média,8.1,7.0,6.8,9.0,6.5,7.8,8.8,2.61,0
129,média,4.9,5.5,6.9,5.5,5.5,5.7,7.0,3.47,0
130,média,7.6,9.0,8.8,7.3,7.0,10.0,7.2,2.57,0
131,alta,7.7,3.8,8.9,3.3,6.5,5.3,4.4,3.82,0
132,média,1.4,8.8,6.6,4.3,8.0,5.3,4.6,1.33,0
133,baixa,9.9,8.7,7.3,4.8,7.9,7.5,5.9,3.36,0
134,baixa,9.1,7.8,8.4,4.8,6.9,4.6,5.1,2.06,0
135,média,4.4,9.0,7.3,9.8,8.0,7.5,6.8,2.66,0
136,média,9.3,9.0,5.8,4.5,6.6,7.5,8.9,4.19,1
137,alta,4.1,6.7,8.4,4.9,5.5,7.2,7.4,6.78,0
138,média,8.8,6.2,7.3,7.4,7.0,4.3,8.4,3.76,0
139,baixa,8.9,4.8,8.3,4.8,8.8,6.5,6.8,1.88,1
140,baixa,5.7,5.9,6.3,5.5,7.8,6.3,7.3,3.33,0
141,baixa,6.3,6.5,9.0,5.4,7.2,7.3,5.5,0.5,0
142,média,4.4,7.3,6.8,4.5,9.0,10.0,5.8,2.54,0
143,média,7.4,8.7,7.9,5.2,5.0,7.6,6.1,4.28,1
144,baixa,4.5,7.8,6.9,2.8,7.9,7.6,5.4,1.69,0
145,baixa,5.9,7.2,8.4,10.0,7.0,7.8,6.4,0.53,1
146,média,6.3,6.1,8.3,1.2,7.4,6.5,8.4,3.92,0
147,baixa,6.8,5.7,7.3,5.1,5.0,5.8,5.1,1.69,0
148,baixa,8.3,9.0,7.9,1.0,8.5,10.0,7.4,0.62,1
149,baixa,3.2,5.9,7.1,4.1,7.3,5.9,8.0,0.5,0
150,baixa,3.4,8.7,7.6,4.6,6.3,9.3,8.9,1.47,0
151,média,1.4,5.3,7.9,5.9,8.3,4.8,6.3,0.5,1
152,baixa,7.5,7.7,9.2,4.9,5.9,6.9,6.2,2.18,0
153,alta,8.2,4.2,8.2,3.1,7.2,8.5,5.1,6.89,1
154,média,9.9,7.7,6.6,6.6,6.4,6.6,4.0,4.87,1
155,baixa,6.3,8.9,8.0,5.0,8.5,8.9,6.2,1.34,0
156,baixa,8.2,6.3,8.2,8.6,7.8,6.5,7.9,2.06,1
157,baixa,7.6,5.2,8.6,3.8,6.5,5.1,7.9,1.58,0
158,média,5.8,9.0,8.1,2.9,7.3,8.6,6.6,3.02,0
159,alta,5.2,9.0,9.4,7.4,7.5,7.2,6.8,5.48,0
160,alta,2.5,6.7,6.6,2.8,6.0,5.3,7.1,3.17,0
161,média,4.1,8.8,5.8,3.7,7.5,5.7,7.0,3.12,0
162,média,6.1,7.5,6.3,3.3,7.5,7.3,6.3,2.87,0
163,alta,10.0,3.7,8.2,1.0,6.3,5.8,5.9,4.72,1
164,média,7.6,8.0,9.1,3.9,8.4,8.3,5.1,5.1,0
165,alta,1.0,5.0,7.7,4.3,9.0,7.5,5.8,0.87,0
166,alta,8.2,8.3,6.1,3.4,8.3,7.8,5.9,6.62,1
167,baixa,7.7,7.0,7.9,5.1,8.5,7.4,5.5,1.4,0
168,média,8.2,6.0,7.8,5.0,6.5,7.7,7.1,2.29,0
169,alta,5.9,9.0,9.3,6.5,7.1,5.9,7.5,7.53,0
170,baixa,3.8,5.2,7.5,7.6,7.3,8.0,5.2,0.5,1
171,baixa,5.3,4.6,7.8,5.2,7.5,5.0,4.3,2.9,0
172,média,4.7,9.0,7.5,4.3,7.2,6.8,8.2,1.65,0
173,baixa,1.6,8.0,7.1,7.6,6.0,5.6,6.2,0.74,0
174,baixa,6.1,9.0,7.6,3.0,8.2,7.2,7.5,1.07,0
175,média,9.7,6.7,6.6,4.6,7.7,8.0,6.9,2.73,0
176,alta,5.1,8.2,7.7,5.8,7.5,4.5,5.6,9.18,0
177,baixa,8.2,4.5,7.4,5.9,6.3,5.8,6.8,1.01,1
178,média,9.8,5.2,5.9,5.3,6.1,6.1,6.3,7.07,1
179,alta,4.7,5.8,8.2,4.9,5.4,3.3,8.8,7.51,0
180,média,5.4,7.9,6.6,3.9,8.7,5.0,4.9,3.72,0
181,média,3.2,6.2,7.3,3.2,6.5,8.0,4.5,1.97,0
182,alta,8.8,6.0,6.8,4.5,5.7,8.2,7.7,2.57,0
183,baixa,4.6,7.5,9.0,6.2,7.2,8.1,8.4,2.6,0
184,baixa,8.0,7.1,8.7,6.0,8.0,9.2,8.7,0.5,0
185,baixa,7.3,5.1,7.6,8.0,6.8,8.7,8.1,2.36,1
186,baixa,8.7,9.0,8.0,5.8,7.6,7.1,4.3,0.83,0
187,baixa,9.6,4.3,9.1,8.3,7.7,8.3,4.0,3.02,1
188,baixa,2.9,7.3,7.8,6.5,9.0,5.2,5.8,0.5,0
189,média,8.8,7.8,5.6,7.3,7.5,5.3,4.0,7.1,1
190,média,1.5,6.7,7.1,4.9,8.6,7.2,6.9,2.59,0
191,média,1.1,9.0,8.7,2.0,7.4,7.4,6.2,0.5,0
192,baixa,6.0,7.5,8.1,5.3,9.0,6.2,6.9,1.27,0
193,média,7.0,8.3,8.2,7.6,6.5,10.0,6.9,4.25,1
194,média,8.8,5.6,6.6,5.4,9.0,6.9,6.8,4.01,1
195,média,4.7,9.0,6.8,4.1,5.7,8.9,5.6,1.53,0
196,média,1.2,5.7,7.7,1.4,5.7,8.0,4.0,2.48,0
197,média,9.7,5.9,8.3,3.4,6.7,9.3,6.9,3.19,0
198,baixa,1.9,8.3,8.4,5.8,6.3,8.4,8.3,0.68,0
199,média,3.2,7.6,6.1,4.5,6.2,7.3,6.0,3.64,0
200,baixa,1.2,6.3,8.2,7.8,7.3,4.5,9.0,1.05,0
201,média,6.2,6.4,7.8,3.7,5.8,7.2,6.9,2.62,0
202,alta,9.8,7.7,8.1,3.7,6.6,3.1,4.4,7.89,0
203,baixa,3.3,8.1,7.3,3.6,7.7,9.2,4.0,1.62,0
204,média,5.0,5.9,8.9,3.7,8.2,8.5,6.3,0.72,0
205,alta,8.3,6.8,7.2,6.7,7.6,7.8,7.4,5.04,1
206,média,1.5,7.6,7.1,7.8,5.8,7.5,7.4,2.92,1
207,baixa,6.5,8.3,7.7,5.1,8.8,8.0,8.5,0.98,0
208,média,8.6,5.2,7.2,3.2,6.0,5.7,6.6,3.98,0
209,média,8.8,8.1,7.2,7.1,6.5,7.9,8.7,4.34,0
210,média,3.5,6.9,5.7,1.8,6.8,8.1,4.0,2.41,0
211,média,8.2,6.9,8.8,7.6,5.7,6.0,7.4,4.39,1
212,baixa,9.6,7.3,7.3,7.1,6.8,6.4,7.2,2.02,1
213,média,8.7,8.5,6.9,3.8,9.0,5.9,5.8,5.02,1
214,alta,3.1,7.5,8.1,4.7,6.6,5.5,5.6,0.5,0
215,baixa,4.4,9.0,8.2,1.0,7.5,7.2,6.2,0.89,0
216,média,9.3,6.3,9.0,8.3,7.8,8.2,7.0,1.36,0
217,média,9.7,7.2,7.0,5.7,7.0,5.9,8.8,4.72,0
218,média,9.0,5.8,8.0,6.2,7.8,9.1,6.7,7.46,1
219,alta,5.4,5.0,6.9,3.3,6.7,8.3,4.0,2.21,0
220,alta,9.1,6.6,8.4,5.1,6.9,6.0,7.9,7.69,0
221,baixa,5.8,5.1,7.0,3.8,5.4,8.9,6.0,1.21,0
222,alta,8.7,6.1,7.9,4.3,6.1,5.0,6.6,5.85,1
223,baixa,1.4,7.4,7.7,6.8,7.4,7.4,6.9,1.43,0
224,baixa,8.1,6.0,9.0,4.9,7.4,7.5,7.4,0.5,0
225,baixa,1.2,8.4,7.2,5.6,6.2,6.5,7.1,1.51,1
226,média,4.2,7.2,7.0,4.6,6.8,5.7,4.9,1.39,0
227,baixa,5.7,6.8,6.9,2.1,7.6,7.4,6.8,0.98,0
228,média,2.5,8.4,9.6,4.3,5.5,4.8,4.5,0.5,1
229,baixa,2.9,7.6,7.8,6.4,6.3,5.7,6.6,1.6,1
230,baixa,9.4,7.2,6.8,2.0,7.3,5.0,6.2,1.03,0
231,média,7.4,4.4,8.5,2.9,9.0,10.0,4.6,0.5,0
232,média,6.3,3.7,7.3,4.1,7.3,5.7,5.8,1.02,0
233,alta,5.5,9.0,7.4,5.4,6.0,7.8,6.5,9.27,0
234,média,5.6,6.2,8.6,7.5,7.2,7.3,5.2,2.27,0
235,baixa,4.0,9.0,7.5,5.9,7.2,5.3,5.7,0.5,0
236,baixa,3.2,4.6,7.5,6.6,7.8,9.5,7.5,1.56,0
237,média,8.5,6.0,8.0,4.4,7.2,10.0,4.7,3.68,0
238,média,4.2,6.6,7.5,9.5,8.5,5.9,5.7,4.37,1
239,média,1.7,6.3,8.4,8.4,5.9,8.8,5.1,1.93,1
240,média,1.4,7.5,6.5,5.9,7.5,4.8,4.8,3.63,1
241,baixa,3.4,6.0,4.5,4.6,7.9,6.8,6.8,1.95,0
242,baixa,5.5,6.9,7.0,2.6,8.8,6.8,4.6,1.39,1
243,média,6.1,4.5,6.3,5.1,7.5,7.2,6.9,3.99,0
244,alta,1.4,9.0,6.8,3.3,7.1,8.0,4.2,1.12,0
245,baixa,8.8,7.8,7.5,4.6,7.6,8.3,5.7,1.52,1
246,alta,6.7,9.0,7.7,3.3,5.9,8.5,4.7,1.33,0
247,média,2.0,6.1,7.2,6.4,7.8,7.8,5.5,1.09,1
248,média,6.3,7.6,8.3,6.2,6.6,7.3,7.8,2.37,1
249,baixa,1.8,8.5,6.8,4.3,8.8,9.8,8.2,1.16,0
250,alta,5.6,5.8,8.0,4.7,7.4,8.7,5.6,6.2,0
251,alta,4.6,7.4,9.3,2.1,8.9,7.2,5.3,4.67,0
252,alta,2.2,7.9,8.7,4.8,7.2,4.5,6.8,2.56,0
253,média,5.0,5.4,5.8,1.0,5.1,6.4,4.0,2.58,0
254,alta,1.1,9.0,8.8,9.1,6.9,7.6,7.4,8.43,0
255,alta,6.2,7.1,5.8,6.4,7.7,7.4,7.2,4.29,0
256,baixa,1.9,8.8,6.5,4.0,7.6,5.9,6.6,0.5,0
257,alta,8.0,6.7,5.8,7.8,7.1,7.3,8.4,9.15,1
258,baixa,6.8,5.3,9.3,3.3,6.9,7.7,8.6,1.86,0
259,baixa,7.1,6.0,7.5,5.5,6.8,7.8,8.5,0.53,0
260,média,8.0,6.3,8.4,6.4,6.8,5.9,7.5,0.51,1
261,alta,5.8,9.0,7.4,8.8,7.4,6.2,7.3,2.43,1
262,alta,2.7,9.0,7.2,9.5,8.3,7.7,8.7,6.84,0
263,baixa,9.6,6.6,6.6,7.8,6.2,7.2,8.0,2.23,0
264,alta,8.9,8.8,7.2,2.9,6.6,4.3,4.7,6.52,1
265,baixa,3.0,3.2,6.3,6.7,7.2,7.9,4.3,3.47,0
266,baixa,6.7,6.4,7.2,5.3,6.8,7.4,6.4,1.47,0
267,alta,9.4,8.6,8.3,1.3,8.7,3.6,4.0,9.44,0
268,média,8.1,8.7,6.7,6.4,7.9,7.4,4.0,5.1,1
269,média,3.0,7.1,6.5,5.0,5.2,8.8,7.3,2.43,0
270,média,6.7,6.7,6.1,2.0,7.7,8.4,6.5,5.01,0
271,média,5.8,7.8,8.9,6.3,5.7,6.1,5.7,2.56,0
272,média,6.5,5.4,6.7,5.0,6.3,5.4,7.6,5.48,0
273,média,9.6,9.0,8.0,7.5,8.2,7.3,7.7,3.51,0
274,baixa,8.5,7.1,8.8,2.5,7.6,8.2,6.7,0.58,1
275,alta,5.0,6.2,5.6,4.0,6.4,5.4,7.3,2.6,0
276,alta,10.0,8.3,5.4,3.3,8.2,6.5,8.6,7.59,0
277,média,2.4,7.5,7.1,5.4,9.0,5.4,8.9,3.12,0
278,alta,7.6,9.0,6.8,3.9,8.7,7.9,6.6,6.38,1
279,alta,5.7,9.0,6.5,5.2,5.0,8.7,6.1,4.98,1
280,alta,4.5,7.6,6.9,3.2,8.3,8.0,4.0,6.48,1
281,média,6.1,7.1,6.4,4.7,5.1,7.4,7.9,4.22,1
282,média,7.0,8.4,8.3,3.4,7.3,5.7,4.6,1.16,0
283,baixa,9.0,7.5,8.2,5.2,6.7,7.2,6.6,2.08,0
284,média,9.9,8.1,6.8,6.0,9.0,6.0,8.9,4.85,0
285,média,1.8,7.2,8.2,3.9,7.7,9.5,4.3,1.8,1
286,média,4.8,6.0,7.2,5.2,6.1,7.2,8.5,2.99,1
287,alta,7.0,7.4,7.0,5.7,5.6,6.0,4.7,1.4,0
288,baixa,4.7,6.6,7.5,1.3,8.1,7.4,4.8,0.5,0
289,baixa,9.1,6.1,6.1,7.2,7.1,6.5,9.0,2.5,0
290,média,7.6,4.8,10.0,7.4,6.2,6.9,6.7,3.44,1
291,baixa,3.8,8.2,6.8,5.9,7.8,6.9,5.2,0.5,0
292,baixa,5.7,8.1,8.0,3.9,7.8,8.4,9.0,2.14,0
293,baixa,9.7,5.8,8.8,6.0,5.7,6.3,4.2,1.31,1
294,baixa,1.9,9.0,7.2,7.5,6.7,8.9,6.4,0.98,1
295,média,7.0,9.0,7.6,7.4,6.7,6.8,4.2,5.27,1
296,alta,4.7,4.4,6.9,3.6,7.4,6.8,8.3,4.2,0
297,alta,4.6,7.4,7.8,7.7,7.4,5.5,4.8,5.55,1
298,alta,2.9,7.9,7.2,9.8,5.0,6.6,8.6,4.15,1
299,alta,9.0,6.5,6.9,7.1,6.6,7.1,7.7,8.55,1
300,média,9.1,7.5,6.3,9.2,7.8,5.7,4.6,5.79,1
301,alta,8.9,4.9,7.9,5.8,7.1,6.6,8.1,3.46,1
302,baixa,9.0,7.3,8.6,7.2,8.4,7.7,7.3,3.13,0
303,baixa,8.1,7.6,7.4,5.3,6.8,6.3,4.8,1.94,0
304,alta,3.4,9.0,7.3,1.0,7.4,6.4,5.8,4.88,0
305,alta,1.5,6.6,7.9,7.2,7.2,8.5,5.2,0.5,0
306,média,3.6,5.0,8.3,3.7,6.9,7.9,7.8,0.5,0
307,média,9.2,6.9,8.4,1.4,9.0,6.8,5.6,2.8,1
308,média,3.1,6.9,7.4,1.0,7.8,8.7,5.7,0.81,0
309,média,8.5,4.4,6.0,5.9,6.8,7.3,5.1,4.14,1
310,baixa,6.0,7.7,6.7,5.8,7.6,7.6,4.0,0.88,0
311,baixa,6.7,8.3,8.9,4.5,7.2,9.2,5.9,2.14,1
312,média,8.0,6.2,9.5,6.0,7.8,5.1,5.4,2.57,0
313,média,4.2,7.5,9.1,5.2,5.7,9.3,9.0,1.31,0
314,média,8.5,7.4,8.7,2.4,6.2,9.8,6.7,2.01,0
315,alta,3.6,6.5,8.6,8.4,6.5,5.2,5.4,6.43,0
316,alta,2.5,7.6,7.3,1.5,8.0,9.1,4.6,3.94,0
317,baixa,2.3,6.3,9.7,1.0,7.0,5.0,9.0,0.5,0
318,baixa,3.6,7.6,6.7,5.3,7.0,7.6,9.0,0.5,0
319,alta,9.8,6.1,8.4,5.5,7.5,7.3,8.6,5.94,1
320,baixa,2.0,6.8,6.9,7.6,7.2,5.2,6.4,1.06,1
321,alta,7.1,6.8,6.9,5.3,8.0,6.0,5.0,7.1,0
322,alta,9.5,6.7,8.2,4.7,6.8,6.3,6.9,9.07,0
323,baixa,2.3,6.8,7.2,6.9,7.2,6.8,5.7,1.43,1
324,média,5.5,5.5,6.8,5.3,7.9,8.1,7.2,5.02,0
325,baixa,7.6,5.6,6.5,2.6,9.0,5.0,6.0,1.18,0
326,média,5.2,7.1,7.6,3.7,8.4,8.0,5.5,2.7,0
327,alta,4.3,8.4,9.7,3.6,7.6,9.0,6.0,2.82,0
328,média,2.1,5.6,7.4,3.1,7.6,7.5,7.6,0.5,0
329,alta,1.8,5.8,7.6,6.8,7.1,4.3,6.6,2.18,1
330,alta,2.8,5.7,6.3,4.6,8.1,5.8,6.1,6.42,0
331,baixa,10.0,6.8,8.4,3.4,5.7,5.5,6.2,1.74,1
332,baixa,9.6,8.2,7.8,10.0,7.6,6.8,7.8,3.37,0
333,média,9.3,6.5,8.2,4.7,7.2,6.5,4.9,5.79,1
334,baixa,8.7,8.5,7.3,7.0,8.0,7.6,5.8,1.36,0
335,alta,9.9,6.3,8.3,6.0,9.0,8.1,7.8,9.45,1
336,média,6.1,6.8,6.9,3.6,6.3,6.8,5.5,1.86,0
337,média,2.1,7.5,6.7,7.7,7.9,6.0,8.1,1.43,0
338,média,8.1,7.2,8.7,4.2,7.5,8.8,5.0,4.05,0
339,média,8.3,6.8,7.9,8.3,5.0,5.8,5.6,2.92,0
340,baixa,9.9,7.1,8.5,6.7,8.1,5.8,6.0,1.77,0
341,baixa,5.0,4.3,7.1,7.4,6.4,7.3,6.5,2.42,1
342,média,2.2,8.4,8.4,6.9,7.6,4.3,7.3,0.5,1
343,baixa,2.6,6.3,7.4,5.5,8.9,8.1,8.4,1.38,0
344,baixa,3.4,7.1,8.4,1.0,6.2,9.3,4.7,0.5,0
345,baixa,9.9,3.7,7.3,5.2,8.7,9.0,4.7,2.75,0
346,alta,4.6,5.0,7.0,6.2,7.4,7.1,5.0,7.63,1
347,média,2.6,7.5,6.0,10.0,7.4,9.1,4.6,4.48,1
348,média,4.1,8.4,5.7,2.9,8.0,7.4,6.8,5.6,0
349,baixa,4.5,8.4,8.1,4.6,7.9,8.6,9.0,0.5,0
350,média,5.8,4.8,7.0,6.4,6.4,6.4,7.4,3.4,1
351,baixa,1.5,9.0,7.6,5.5,6.2,4.6,4.0,0.84,1
352,alta,4.8,9.0,7.2,2.5,7.2,7.0,6.2,6.52,0
